cityId,city
25.30.159,Agartala
25.31.161,Agra
25.12.36,Ahmedabad
25.20.101,Ahmednagar
25.23.116,Aizawal
25.27.135,Ajmer
25.18.195,Alappuzha/Alleppey
25.31.162,Aligarh
25.31.163,Allahabad
25.13.52,Ambala
25.26.127,Amritsar
25.12.37,Anand
25.1.1,Anantapur
25.12.38,Ankleshwar
25.33.179,Asansol
25.20.102,Aurangabad
25.14.194,Baddi
25.4.20,Bhagalpur
25.31.164,Bareilly
25.26.128,Bathinda
25.17.75,Belgaum
25.17.76,Bellary
25.17.74,Bengaluru/Bangalore
25.12.40,Bharuch
25.12.41,Bhavnagar
25.6.24,Bhillai
25.27.201,Bhilwara
25.19.95,Bhopal
25.25.120,Bhubaneshwar
25.12.42,Bhuj
25.17.77,Bidar
25.6.25,Bilaspur
25.16.69,Bokaro
25.26.23,Chandigarh
25.29.146,Chennai
25.29.147,Coimbatore
25.29.148,Cuddalore
25.25.121,Cuttack
25.10.28,Dadra & Nagar Haveli/Silvassa
25.14.61,Dalhousie
25.10.29,Daman & Diu
25.32.176,Dehradun
25.9.30,Delhi
25.9.31,Delhi/NCR
25.16.70,Dhanbad
25.14.62,Dharmasala
25.17.78,Dharwad
25.24.118,Dimapur
25.33.180,Durgapur
25.18.86,Ernakulam/Kochi/Cochin
25.29.149,Erode
25.31.165,Faizabad
25.13.53,Faridabad
25.12.186,Gandhinagar
25.28.142,Gangtok
25.31.166,Ghaziabad
25.12.43,Gir
25.31.167,Gorakhpur
25.17.79,Gulbarga
25.1.2,Guntakal
25.1.3,Guntur
25.13.54,Gurgaon
25.3.17,Guwahati
25.19.96,Gwalior
25.33.181,Haldia
25.13.55,Hisar
25.29.144,Hosur
25.17.80,Hubli
25.1.4,Hyderabad/Secunderabad
25.18.196,Idukki
25.21.112,Imphal
25.19.97,Indore
25.2.15,Itanagar
25.19.98,Jabalpur
25.27.136,Jaipur
25.27.137,Jaisalmer
25.26.129,Jalandhar
25.20.103,Jalgaon
25.15.66,Jammu
25.12.44,Jamnagar
25.16.71,Jamshedpur
25.27.138,Jodhpur
25.1.5,Kakinada
25.12.45,Kandla
25.18.87,Kannur/Cannannore
25.31.168,Kanpur
25.13.56,Karnal
25.18.197,Kasargode
25.33.182,Kharagpur
25.17.81,Kolar
25.20.104,Kolhapur
25.33.183,Kolkata
25.18.88,Kollam/Quilon
25.27.139,Kota
25.18.89,Kottayam
25.18.85,Kozhikode/Calicut
25.14.63,Kulu/Manali
25.1.6,Kurnool
25.13.57,Kurukshetra
25.10.202,Lakshadweep
25.31.169,Lucknow
25.26.130,Ludhiana
25.29.150,Madurai
25.18.198,Malappuram
25.17.82,Mangalore
25.31.170,Mathura
25.31.171,Meerut
25.26.131,Mohali
25.31.175,Moradabad
25.20.105,Mumbai
25.20.106,MumbaiSuburbs
25.17.83,Mysore
25.29.145,Nagercoil
25.20.107,Nagpur
25.20.108,Nasik
25.20.190,NaviMumbai
25.1.7,Nellore
25.1.8,Nizamabad
25.31.172,Noida
25.29.151,Ooty
25.18.90,Palakkad/Palghat
25.13.58,Panipat
25.5.33,Panjim
25.25.122,Paradeep
25.18.199,Pathanamthitta
25.26.132,Pathankot
25.26.133,Patiala
25.4.21,Patna
25.10.126,Pondicherry
25.12.46,Porbandar
25.34.191,PortBlair
25.20.109,Pune
25.25.123,Puri
25.6.193,Raigarh
25.6.26,Raipur
25.1.9,Rajahmundry
25.12.47,Rajkot
25.16.72,Ranchi
25.13.59,Rohtak
25.32.177,Roorkee
25.25.124,Rourkela
25.29.152,Salem
25.22.114,Shillong
25.14.64,Shimla
25.3.18,Silchar
25.33.184,Siliguri
25.20.110,Solapur
25.15.67,Srinagar
25.12.48,Surat
25.29.153,Thanjavur
25.18.92,Thrissur/Trichur
25.29.154,Tirunelveli
25.1.10,Tirupati
25.29.155,Trichy
25.18.93,Trivandrum
25.29.156,Tuticorin
25.27.140,Udaipur
25.19.99,Ujjain
25.12.39,Vadodara/Baroda
25.12.49,Valsad
25.12.50,Vapi
25.31.173,Varanasi
25.5.34,VascoDaGama
25.29.157,Vellore
25.1.11,Vijayawada
25.1.12,Visakhapatnam
25.1.13,Warangal
25.18.200,Wayanad
50.50.50,Other National Location
