minCTC,allowedMaxCTC
786,786
786,5000
786,10000
5000,5000
5000,10000
5000,15000
10000,10000
10000,15000
10000,20000
15000,15000
15000,20000
15000,25000
20000,20000
20000,25000
20000,30000
25000,25000
25000,30000
25000,35000
30000,30000
30000,35000
30000,40000
35000,35000
35000,40000
35000,45000
35000,50000
40000,40000
40000,45000
40000,50000
40000,55000
45000,45000
45000,50000
45000,55000
45000,60000
50000,50000
50000,55000
50000,60000
50000,65000
50000,70000
55000,55000
55000,60000
55000,65000
55000,70000
55000,75000
60000,60000
60000,65000
60000,70000
60000,75000
60000,80000
65000,65000
65000,70000
65000,75000
65000,80000
65000,85000
70000,70000
70000,75000
70000,80000
70000,85000
70000,90000
75000,75000
75000,80000
75000,85000
75000,90000
75000,95000
75000,100000
80000,80000
80000,85000
80000,90000
80000,95000
80000,100000
85000,85000
85000,90000
85000,95000
85000,100000
85000,10000000
90000,90000
90000,95000
90000,100000
90000,10000000
95000,95000
95000,100000
95000,10000000
100000,100000
100000,10000000
10000000,10000000
