industryId,industry
8,Accounting/Taxation/Finance
32,Advertising/PR/MR/Events
33,Agriculture/Dairy
30,Architecture/Interior Designing
4,Auto/Auto Ancillary
14,Banking/Financial Services/Broking
7,BPO/ITES/CRM/Transcription
6,Chemicals/PetroChemical/Plastic/Rubber
12,Construction/Engineering/Cement/Metals
10,Consumer Durables
18,Courier/Transportation/Freight
42,Defence/Government
26,Education/Teaching/Training
13,Export/Import
41,Fertilizers/Pesticides
9,FMCG/Foods/Beverage
31,Fresher/Trainee
35,Gems & Jewellery
2,Hotels/Restaurants/Airlines/Travel
16,Industrial Products/Heavy Machinery
17,Insurance
25,IT-Software/Software Services
15,IT-Hardware & Networking
27,Telcom/ISP
36,Legal
19,Media/Dotcom/Entertainment
20,Medical/Healthcare/Hospital
37,NGO/Social Services
21,Office Equipment/Automation
23,Oil and Gas/Power/Infrastructure/Energy
43,Paper
22,Pharma/Biotech/Clinical Research
38,Printing/Packaging
39,Real Estate/Property
34,Recruitment/Employment Firm
24,Retailing
40,Security/Law Enforcement
28,Semiconductors/Electronics
44,Shipping/Marine
3,Textiles/Garments/Accessories
45,Tyres
29,Other
